signature,beneficiary,mint,amount
67AbNtgFwYLsZTPSD2YPB3Dj6gVh58mcJ39376qQRRutvqKZ4nmGPJm7jvH4qa9DZSCScKtqhSPk25qUW8RjMtpq,nov2fLdHRJHqERoitTGfPuTobS49jbwhGckeAkrAvK2,So11111111111111111111111111111111111111112,1.6107000000001315e-05
66UBg5Hjdqt5gQdiPLJwM8M5AsBqzJ9bQMLC7ZnCxnyxWBKoxbNG1YFjD9NFUegctxs27Tr8KW7G434igBVgwnrx,EuLceVgXMaJNPT7C88pnL7DRWcf1poy9BCeWY1GL8Agd,So11111111111111111111111111111111111111112,0.00020809700000000084
5qv3nammxLQgqC9iJUY9ztB26ex8S74fvea54pDj3h2uWtrRrn76e93ZLKEVneuK5BowbQPzLzkQWQkbTtGbYSia,8Kj2MoiGtDDLFZMPCCAgGkRQ2RFi2QV2YQ4K1EGvhMTz,Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,0.01500599999999963
31tB3Vupwwe74T2M9ahT1YTrAnA1tDMgyAMJAJBshAcgXiJnjkLgNm1jXExHp9uPeeeGZN9i4kAv6wgfp9ooon2c,4qWht7gPqJSZtXkKFPG2F1SiU3rF9mLyGGkBpc65x89A,So11111111111111111111111111111111111111112,1.739999999986197e-07
5V489m7tpGKT7djKuarkEViKjH3spW5pnwbPuTL8oecdExcgjJWtUNsyKr6eitLBmehG5UHetFEvtr6XKQ5r62Sa,Ceo1B2b5EQEQCkKSaCScN6MPMYToHSjfNKH4h6kYdQy5,So11111111111111111111111111111111111111112,0.04013252200000039
2RSnqdHgBLukBBq267NgbcX9UFLRt76EugsEp3ciq257n58kW4Xd4fYZMMhNAtD2QjQzWsvqAr7yGCM3G4sykiy,CbNMHuRaj6DHDzrEn9qDzJC2yo69rb6sntXGpzjhaCs,So11111111111111111111111111111111111111112,0.0005860280000000023
TBKDh5d5PFHQqbFVV5DY5kdm59MAdJBbp957KmfJ5qm3FhmovPiNTefeqEA4U3cTicVT3LZ8tVvae1rNYdmYdjT,5GpzkbJ1L4sAbJqwfHtVTiiKsRKnR6K9u5QYcQvjnFJd,So11111111111111111111111111111111111111112,0.009359399000000046
3JwhT1zeoPri9qFTbjsCE5uKniDLiruDiG7eds4nUTKfAaafGZcwZvANcDfEjT6njnDvX4BXe2BJYZ1gtwoshuer,GSMhmutjrMdaAMfe5Tmwzg7WVxaC4VPD1MHhUwe8uxnb,So11111111111111111111111111111111111111112,0.0020847749999999277
4g2G7GVTaQSnaCRM1viTpe8Z2w5u9ZUnZy43ux7RGLwF7GyYpF3SyBibTAbAkahP18uTpCbSFUAdNm4ZQ8iPSGSN,CE1BrgijtkvqgMvfVDfniTZsTn2KjtSP6KNF9mtTw6TQ,So11111111111111111111111111111111111111112,0.000278466000000005
5iKTQzaXZEqwJ2z5zbUXSJFwg9DQCQfpkncJ7zDXsvhtPqSnjtgyep7M72wCjhAGjG1kTcS3JtJvqpowz6XoivyN,wrongpDtP8oMtw7iDT6FPvcVSS4qcKiqzD2DNSeVyKc,So11111111111111111111111111111111111111112,3.337799999997282e-05
3bKLXXribB45gPgK12ZeNe63zGps5qa3RfqHEYznejwTan2AxqN74HMynPiXKuWF4ed5ppRtKqDX9GHWUSGpD4tc,6mEmjfJFXgvusacn3QPsr5swUNu3c55VMJfiPz8ovBag,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,0.012093999999990501
UAFArGdwRXeVHeeP69noJNJMQ3XcMq6VHg8s41sFbPMMXEyT9WksWLwPGwc1iapnQJbU7NY5s7r55ZpsxXBBZX7,DvwDAqaNRgCZfL5UCZUrUzbNS3cbiUxZaLYokTZ9KPgd,So11111111111111111111111111111111111111112,3.08180000000019e-05
2TZq1phLepXzoVahKN2zGzN8DKWrMwQASYFZTt4c8s7HWLQPhFrNpJdEVSoWofikxzSTth5GMv7mdcgo7PXn7Yjg,HzuK5PCN6gi8gaKHZwRMhXS4sJiHyUFM3dtBHXLykVQU,So11111111111111111111111111111111111111112,8.430699999999874e-05
4s6TcrvECVrH9XDoTSqCVEkK5g3UAGpqKUXJ7nJaAXVQtAuFtRZ4gvtuBc1ss8SAoq2D5TU4fdjeqJ2aVD36REgM,HzuK5PCN6gi8gaKHZwRMhXS4sJiHyUFM3dtBHXLykVQU,So11111111111111111111111111111111111111112,4.413099999999934e-05
5qLFva8n87fvkKDXcRWHJUc9z3w1ZBD8AGnNNfJsjmiMBdW1kBpo1auXfyfQcVQTEifjQwz5fsLyEWtPFUKQEjCm,Gm16UVXwhB8oaipRTa52qJ36zWeBK4k3CurkT8JGE5VE,So11111111111111111111111111111111111111112,0.000449960000000027
3xAMWqq4Y3C7jjaHuDTcoSbooUqfs3R1iDz2BBoNSk5f94eMt4NczruKux5ryyNfc3nXG1idPbPHfCLHiqE9iCks,Gn96hdr1mboNUMuPEg2DBmJNvwxJf8Z51hGahVNdkSxT,So11111111111111111111111111111111111111112,9.764400000000784e-05
3vmYH9RMuJKRVvfVWPurkpm2dSMi2cuDB7oAeGjJnBDa5NEWqpQVNPTZKS9PAvcedwtPDAPmdYMGzFpY1nG9HEGf,HzuK5PCN6gi8gaKHZwRMhXS4sJiHyUFM3dtBHXLykVQU,So11111111111111111111111111111111111111112,3.302000000000166e-06
2jYCsqKKqpgEB5c5cqBC11pPp9wDMY6rkH54bhBPF6NoTc92oYCpnHENgAoZLHz2pJr5j8tfs4Bn9Lbo4pLknSS7,5nCkbb2j8UszeJsF9SsU5DXPo3PwjnJxBTPSppYHnqh8,So11111111111111111111111111111111111111112,0.0021803549999996896
5AQucSrfK1ye5AxbQeJkferGEcNCj9gWtjzEL5JV5NHTC2gazJptwKgjVFPfvj61EYCKhxXWN1VaMP8DACGro8YZ,7JFphvzpvcQjJV7Kv7FJnQX8h6GDKNrpUFMpKg7Zc9Tu,So11111111111111111111111111111111111111112,0.0008945449999999966
5jiUREEzrc6owxQGah8PKq5H44xtvLkWHN6cLky3NKy9Vq8BcGXFqisR5iHfdESviAJoigYwZMBuMKzQQLmz35uN,HzuK5PCN6gi8gaKHZwRMhXS4sJiHyUFM3dtBHXLykVQU,So11111111111111111111111111111111111111112,7.73099999999971e-05
2grHe1fajJyq6rAnsDhzFf7zHPoXj2SVwU5qotBonq2jCnvhLqP2gRTEuWot3b74f3q2krzC1auxssHu69K2Dc7D,HzuK5PCN6gi8gaKHZwRMhXS4sJiHyUFM3dtBHXLykVQU,So11111111111111111111111111111111111111112,0.0005973639999999891
2Mf8ZG8iQ114nhkVYxEMBThBQ2URL2mtCV5xzKy33UDPnDM35KbWxPwA9jAbkLKYMnAFmZZGHKzDTczFfkqXXCYg,5GpzkbJ1L4sAbJqwfHtVTiiKsRKnR6K9u5QYcQvjnFJd,So11111111111111111111111111111111111111112,4.190000000015015e-07
61AsU2WbHtKjRtBqhXe69CuBJ1jmgPJooTXyAuuLY7KE55cAFbjhGE6XCjEjCZkwxJUyf5FLVt1qSot7jC9eSXfx,FQALtCrik9tuae1cqpb5WNBma1VuVNu9UR3hvUDytyzu,So11111111111111111111111111111111111111112,0.0008885030000000127
59ApWU2vBtpTsZdBv1hrJTkMbBXGxjN2wugwPReTsR2Zm4JpGWFd7PhY1j9sZTN43NXbeVQ13AN7QxPN3kVo2whR,46hE3bEFanjeU8ZkD3Xwoz3Ut2WwSJezRfUUaHRX9hc5,So11111111111111111111111111111111111111112,0.00020836199999996197
3CZRD9PsB1ctXBGWHrWXSXJAdCWQLFr82o4c1KpxP5D2qfTwyWYitigk7Jq3CjE9jahNBh4GmiG6udiJSN1MWyxf,CbNMHuRaj6DHDzrEn9qDzJC2yo69rb6sntXGpzjhaCs,So11111111111111111111111111111111111111112,0.00010174500000000031
2Y48sfu33pAc9cXb9vbDfrGk2NUERUqDBDRSPdYrg2CfcLkCQE3jFtbkVFwxYzp48PK33ajHEnBZQzGhu6ASo9Ud,BR7BXKPRpSNn7X1Dh16Kebf36WLUf8RvekVDq9DZcjxh,So11111111111111111111111111111111111111112,5.107600000000059e-05
5xSu4TUBL5fs6RbvsmRPXg6aF8JFXGT6sUoqjYqWoBojYEEWk9AJt5tDze8sgwjetSeZ7Dad9VdyumypF5sxUsvN,EuLceVgXMaJNPT7C88pnL7DRWcf1poy9BCeWY1GL8Agd,So11111111111111111111111111111111111111112,8.25529999999991e-05
3AthuNCJxjkDBJQdfmnSRXoVXLZYFgwE2wtZuJj7kwFewczeDRrriC3ze96LbpgS4eh335GRmHa55RbLBKw6xv7J,EuLceVgXMaJNPT7C88pnL7DRWcf1poy9BCeWY1GL8Agd,So11111111111111111111111111111111111111112,4.483000000000091e-05
4rZ1SQcA5tUJm5T16UMMqoyTuwmbaoNztRQQp6fEXmabDvthDNXzjBKkHvjg61k3G56CMEVNobyoy4T48ETVhg7x,2CACCYAuRA8TZ7vM8MJQqNmchKc8LP7HpfGYXDsbSG4w,So11111111111111111111111111111111111111112,7.578000000000272e-06
5ESDh1ky4ER9kJbtq6V615hWx7FESdS7tZEyjLJQJEJA5Fz2i8pWTAwWbWTcdKhW5Mx2emJRm97ryXuHBJ6zgTi7,BD6TFcNT3BN1signjNmiq4VKiJa2d7LUQCqsKAYKaXU6,So11111111111111111111111111111111111111112,3.1695999999997726e-05
2Z3N6mE8XoPnvx1ifTCTpApAG5E7xj5LKwrcAtVM8yjbUma82kFq5onL4fHdPsovV7k4jhpHTrZN6Cgv89YEtMt6,DvwDAqaNRgCZfL5UCZUrUzbNS3cbiUxZaLYokTZ9KPgd,So11111111111111111111111111111111111111112,3.8394999999996626e-05
3Td44d2X31LqzL1TLDvXuP8bui5FxWg1rfPQaQoRKpBwHt3eoWhzAQ1mCdGfeQWwf7LVZfegDsexjrdp1Z7rRgge,Bu111YBcn5Mt7DoLVY9VhtwuPZB5S7BJ6fgePifzCPSf,So11111111111111111111111111111111111111112,2.1708999999999964e-05
65NrguJ3QAmwrE8CRYTp3ecyp97fRNZK5LmfGrhQFyBh18W9FkCJprxgcm2F1SkFKVj4LEstuRkQWtkEofG2h6KL,DDEw7LcjzrDwpUGKMtDCVZKixd9ZGykCCA2VRDfojQsq,So11111111111111111111111111111111111111112,2.3585999999999052e-05
35uZrN7QBhjvUFuoYc7MTGSTnCbafU56CGncCvnSwZ1woTirZXjMe2HTkW9AmojhmjSU9Q6JXXDmHVsmM7pKQBcX,YcjUULpoURFD8TVwDZC8Wsk4RbAY5L62TH3rJoaFFTk,So11111111111111111111111111111111111111112,6.203000000010173e-06
5HS2jPeZccYL7YDGdYzv5fgUGZFfpXmTHgBuz82jYR6WRc7kCye7u4qmkMbnxHnb8MoAgxyxGHt282MejHUgMtBg,2VdzLvPZrpvgwT5pUjTFZjDoJZonrBB2xm5jbC1KC671,So11111111111111111111111111111111111111112,4.4189000000000034e-05
4vEhK2bUiwk96qiYpDdxamLUQ4zSHBXU1yykRE5qzBtYbENSx4JDzfpcTUJe64xwryUAPVyEDJfTPQEzc6WV2r2c,6tjHvS2HU5eAMti7aUcdgSAhqtHjxsdcvUSLatEkNVtp,So11111111111111111111111111111111111111112,0.014064090999999834
58JnHvzVMfuwLxTn9CQpSSohywswcL8ReoiBKqpcWt8yQzmb3GH6QaDQKMpEspZu3xQwa39h4gc66QT27H3tNEix,6zhK4gpohxPyk7fd4nTqWMgqLJVZshivxe7r7G9EdTgf,So11111111111111111111111111111111111111112,0.0003397019999999973
2jSxZBpYPqHvTC65mTDojZbSqKi5FepdJfDshxn5Pq8DWeNLTdKic5GJV6353kMkHvQ1EVemdknKdUqBQV8yttGX,AmbcqD1BDrREBGHtRgcCjVe5JsEFTQ8T2r4Hi82ETP9e,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,0.09641800000002831
3bmYv7w2XXLvesFbYZ5NudvqHDveBW7PnPMznaEUXTY9Yz4NFgMRckiQBrcjVR7igYSw65GbaPxPWgJhs81M1xde,7JFphvzpvcQjJV7Kv7FJnQX8h6GDKNrpUFMpKg7Zc9Tu,So11111111111111111111111111111111111111112,0.000236357000000003
4Phwzqu2XaMTpEgAVVy3BwjxQQ1LBhtoxaSU5E3Z8tF1hZijJNUrSFTUjTuzthE3xPHvvKFpBFUAdb7ZadRpaY5k,6zhK4gpohxPyk7fd4nTqWMgqLJVZshivxe7r7G9EdTgf,So11111111111111111111111111111111111111112,9.786700000000148e-05
3MyTL28pcE6sxWcFaLJwUSW5Z8vrXkCowaGcLYnutMKkrdNvVUUiqtDqFBvV22UJbfn4TTqWmEYoRR3gK1c6chb7,CeoGoucJbwjno6KC1BiX4efKGqQyBjRzqgyhLYwJfgfr,So11111111111111111111111111111111111111112,0.006345844000000156
3H73yqrFejkDmTFQKxcJyGVXFPdHArESiMp1KTuXaMdxHyQvZg8EVL6NodRdCQPhDX8RbKheqAPZqKEnC1c3JM1L,ANwWDBtanRCF895L5SgjY79AQKJXwG5LdKYfTmQC1pnf,So11111111111111111111111111111111111111112,2.17990000000029e-05
2Uw5SYHa4w9uzTNghTspq23ugSG8iDWeYJzEas16qXnQHTeE2JreNHeUq93uQCvFngeiL1NPA96DiLsR7DR1HAQD,6DBRRXagTDX4yzGSpSZZLUv4LWzSehHWdFxPt4jk8KfT,So11111111111111111111111111111111111111112,6.824800000004849e-05
yzauaQ3YvwJPtnwDuFydVDHvahhjSASyPZWnwRhoCtunhXs7wBG2gWfZVqkmvLw3wwkWBs42WWxSGjMFKya4Pq7,EricNvnLiJreYVNLmfBUVQLqDitMXNgPTyMZiJuNVs4S,So11111111111111111111111111111111111111112,3.83990000001333e-05
4poAQJ3WrtsBZhYbjKTLxUdup2EdrBdU5oTdj3W6jWojxkNuzJSmNFEzf5LC52NFnsb4nq78Vwz7QoPAfmKgZ77V,6DBRRXagTDX4yzGSpSZZLUv4LWzSehHWdFxPt4jk8KfT,So11111111111111111111111111111111111111112,8.561000000018026e-06
55kipizP16Bu3UVMWeM5Jf2EdTcYEAeQYxGkqU7B2Nv9DAkC8pFpyXS6VjmdYoGVmESKMpcx1LMsTefaDcKwovJe,CeoexdLDkYm7YnSSNUBbr9jdW2rwk583UgLzb8ScWAzP,So11111111111111111111111111111111111111112,0.011526826999999962
4oqj1fTKcprR6K2KodoxWZ638JeEUsV98oUjoZn6HwVLSnd89YAwsPbwxUFsWDas7Sip1uYri8rFwN9sYpmD9axg,CeooVr5WRUjH5jMf7nqUN1p1kZ7sFonwBvvTwdTuWkAz,So11111111111111111111111111111111111111112,0.004888837000000201
2DN2QkJVDYTkSw63S8EzxV4THYGC5wFCdAbKFNyLPuL22kuejdtragueF9uVFzBY9H3hZGZfvtWRHWGG7N46sXjA,67PBx8EzR2ta5TN2ZpsFWW6pxPAzDdeX1UspbRGK8kTw,So11111111111111111111111111111111111111112,5.0139999999976315e-06
M8HHfyWNgfE2445cgq4Eu8GSicQPE2bTe64Sdp6EqzahZan2RyTECGLBak5GwatibeeQT3Jmm2yzjueDgZYenhk,HzuK5PCN6gi8gaKHZwRMhXS4sJiHyUFM3dtBHXLykVQU,So11111111111111111111111111111111111111112,0.00021359999999999435
